[ DEBUG ][ 2022-06-13 10:51:03,460 ][ utils ] ==> (1.171) 
            SELECT c.relname,
            CASE WHEN c.relispartition THEN 'p' WHEN c.relkind IN ('m', 'v') THEN 'v' ELSE 't' END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None
[ DEBUG ][ 2022-06-13 10:51:03,968 ][ utils ] ==> (0.430) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
[ DEBUG ][ 2022-06-13 10:51:07,366 ][ utils ] ==> (0.686) INSERT INTO "request_request" ("response", "method", "path", "time", "is_secure", "is_ajax", "ip", "user_id", "referer", "user_agent", "language") VALUES (302, 'GET', '/admin-back-office/start_form/voyage/', '2022-06-13T10:51:06.670554'::timestamp, false, false, '127.0.0.1'::inet, NULL, '', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7') RETURNING "request_request"."id"; args=(302, 'GET', '/admin-back-office/start_form/voyage/', datetime.datetime(2022, 6, 13, 10, 51, 6, 670554), False, False, Inet('127.0.0.1'), None, '', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7')
[ DEBUG ][ 2022-06-13 10:51:08,258 ][ utils ] ==> (0.019) INSERT INTO "request_request" ("response", "method", "path", "time", "is_secure", "is_ajax", "ip", "user_id", "referer", "user_agent", "language") VALUES (200, 'GET', '/admin-back-office/login/', '2022-06-13T10:51:08.229534'::timestamp, false, false, '127.0.0.1'::inet, NULL, '', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7') RETURNING "request_request"."id"; args=(200, 'GET', '/admin-back-office/login/', datetime.datetime(2022, 6, 13, 10, 51, 8, 229534), False, False, Inet('127.0.0.1'), None, '', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7')
[ DEBUG ][ 2022-06-13 10:51:08,902 ][ utils ] ==> (0.069) INSERT INTO "request_request" ("response", "method", "path", "time", "is_secure", "is_ajax", "ip", "user_id", "referer", "user_agent", "language") VALUES (404, 'GET', '/favicon.ico', '2022-06-13T10:51:08.817958'::timestamp, false, false, '127.0.0.1'::inet, NULL, 'http://127.0.0.1:8000/admin-back-office/login/?next=/admin-back-office/start_form/voyage/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7') RETURNING "request_request"."id"; args=(404, 'GET', '/favicon.ico', datetime.datetime(2022, 6, 13, 10, 51, 8, 817958), False, False, Inet('127.0.0.1'), None, 'http://127.0.0.1:8000/admin-back-office/login/?next=/admin-back-office/start_form/voyage/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7')
[ DEBUG ][ 2022-06-13 10:51:11,917 ][ utils ] ==> (0.422) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."username" = 'darkman' LIMIT 21; args=('darkman',)
[ DEBUG ][ 2022-06-13 10:51:12,161 ][ utils ] ==> (0.052) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba' LIMIT 1; args=('izhagkz37zxgtr1xdgvktnjzzc8klmba',)
[ DEBUG ][ 2022-06-13 10:51:12,166 ][ utils ] ==> (0.003) INSERT INTO "django_session" ("session_key", "session_data", "expire_date") VALUES ('izhagkz37zxgtr1xdgvktnjzzc8klmba', 'N2ZmMDgwZTU3NmQ3NjkwNmFhZDQwNjdhMWI0M2YzYTU0Zjc2OTIxNDp7fQ==', '2022-06-27T10:51:12.162591'::timestamp); args=('izhagkz37zxgtr1xdgvktnjzzc8klmba', 'N2ZmMDgwZTU3NmQ3NjkwNmFhZDQwNjdhMWI0M2YzYTU0Zjc2OTIxNDp7fQ==', datetime.datetime(2022, 6, 27, 10, 51, 12, 162591))
[ DEBUG ][ 2022-06-13 10:51:12,324 ][ utils ] ==> (0.106) UPDATE "auth_user" SET "last_login" = '2022-06-13T10:51:12.215680'::timestamp WHERE "auth_user"."id" = 1; args=(datetime.datetime(2022, 6, 13, 10, 51, 12, 215680), 1)
[ DEBUG ][ 2022-06-13 10:51:12,390 ][ utils ] ==> (0.063) SELECT "oauth_profile"."id", "oauth_profile"."user_id", "oauth_profile"."uid", "oauth_profile"."work_phone", "oauth_profile"."home_phone", "oauth_profile"."location", "oauth_profile"."id_proof", "oauth_profile"."branch_id", "oauth_profile"."status" FROM "oauth_profile" WHERE "oauth_profile"."user_id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:12,439 ][ utils ] ==> (0.046) UPDATE "oauth_profile" SET "user_id" = 1, "uid" = '80eb2f69-ee97-4a6b-9ef9-0c6f81119b74'::uuid, "work_phone" = '', "home_phone" = '', "location" = '', "id_proof" = '', "branch_id" = NULL, "status" = true WHERE "oauth_profile"."id" = 1; args=(1, UUID('80eb2f69-ee97-4a6b-9ef9-0c6f81119b74'), '', '', '', '', True, 1)
